Articulo,Desc_Articulo,Familia
RM00000662,BOTELLA PET 1000 ML 28BC MOD 1000-80 ZETA AZUL 24.5,ETIQUETADO AOKI
RM00000838,BOTELLA PET 980 ML SC MOD 980 TRANSPARENTE 27 GR,BOTELLAS SOPLADAS
RM00010672,TAPA CORTA 28 BLANCA CPS,REVENTA
RM00006508,ACEITE SINTETICO 19 LT RAP-46,REVENTA
RM00000842,MAQ 1 SC28-C-AM TAPA SHORT CAP 28MM AMARILLO,REVENTA
RM00000863,BOTELLA PET 360 ML 28 BC MOD LICORES TRANSPARENTE 16 GR,BOTELLAS Y FRASCOS
RM00000694,PREFORMA PET 48 MM 72 GR TRANSPARENTE REMSA,PREFORMAS
RM00000898,TAPA P/GARRAFON AGUA PURIFICADA BCO S/CINTILLO Y LAINER,REVENTA
RM00000892,LICORERA PET 1000ML 28BL MOD ELEGANT PT TRANSPARENTE 37 GR,BOTELLAS SOPLADAS
RM00010721,TAPA LARGA # 28 CPS BLANCA,REVENTA
RM00000855,BOTELLA PET 250 ML 26 BC MOD JUGOS TRANSPARENTE 10.5 GR,BOTELLAS SOPLADAS
RM00000963,GARRAFA PET 3.785 L 48 MM MOD CUADRADA CON ASA BLANCA AZUL 80 GR,GARRAFAS PET
RM00000953,BOTELLA PET 350 ML BC MOD 350-16 AZUL 15 GR,BOTELLAS SOPLADAS
RM00010673,TAPA CORTA 28 NEGRA CPS,REVENTA
RM00001784,POLIETILENO ALTA DENSIDAD DOW 8904,MATERIA PRIMA
RM00000966,BOTELLA PET 1000 ML 28 BL MOD 1000-43 TRANSPARENTE 37 GR,BOTELLAS SOPLADAS
RM00010760,POLIETILENO ALTA DENSIDAD HDPE 12450N DOW (60120),MATERIA PRIMA
RM00000987,PREFORMA 660 GRS P/GARRAFON AZUL C/ROSCA REMSA,PREFORMAS
RM00000988,PREFORMA 700 GRS P/GARRAFON AZUL C/ROSCA REMSA,PREFORMAS
RM00010453,ASA 56 MM AZUL GENERICO P/GARRAFON PET 40 GR,TAPAS Y ASAS
500-001-004,500-001-004,OTROS
RM00010828,POLIETILENO BAJA DENSIDAD BRASKEM LDF2023,MATERIA PRIMA
RM00001021,BOTELLA PET 1000 ML 28 BL MOD LICORERA TRANSPARENTE 51 GR,GARRAFAS PET
RM00004335,MOLIDO INTERNO PET AZUL,MATERIA PRIMA
RM00003439,PET MOLIDO GENERADO,MATERIA PRIMA
500-002-004,500-002-004,OTROS
500-001-009,500-001-009,OTROS
501-001-002,501-001-002,OTROS
RM00001092,BOTELLA PET 700 ML 28 BC MOD. GREKAS TRANSPARENTE 32 GR,BOTELLAS Y FRASCOS
RM00010466,MOLIDO INTERNO PET BLANCO,MATERIA PRIMA
RM00010054,BOTELLA PET 500 ML 28 BC MOD 500-45 P/ETIQUETAR AZUL 15.5 GR,BOTELLAS Y FRASCOS
GEN0000003,ARTICULO DE PRODUCCION GENERICO REMSA,
